20260831
C0000059;Limite Inferior Indicador_3;NUMERICO;10;8;S;
C0000060;Limite Inferior Indicador_4;NUMERICO;10;8;S;
C0000061;Limite Superior Indicador;NUMERICO;10;8;S;
C0000062;Limite Superior Indicador_1;NUMERICO;10;8;S;
C0000063;Limite Superior Indicador_2;NUMERICO;10;8;S;
C0000064;Limite Superior Indicador_3;NUMERICO;10;8;S;
C0000065;Limite Superior Indicador_4;NUMERICO;10;8;S;
C0000066;Multiplicador Opção de Compra;NUMERICO;4;4;S;
C0000067;Multiplicador Opção de Venda;NUMERICO;4;4;S;
C0000068;Obs Indicador_1;TEXTO;50;0;S;
C0000069;Obs Indicador_2;TEXTO;50;0;S;
C0000070;Obs Indicador_3;TEXTO;50;0;S;
C0000071;Obs Indicador_4;TEXTO;50;0;S;
C0000072;Observação;TEXTO;320;0;S;
C0000073;Parâmetro Accrual Fonte de Informação;TEXTO;20;0;S;
C0000074;Parâmetro Accrual Moeda;TEXTO;20;0;S;
C0000075;Parâmetro Accrual Taxa;NUMERICO;10;4;S;
C0000076;Parâmetro Accrual Valor;TEXTO;20;0;S;
C0000077;Parâmetro Cliente;TEXTO;20;0;S;
C0000078;Participação Indicador;NUMERICO;3;2;S;
C0000079;Percentual Indicador;NUMERICO;3;2;S;
C0000080;Percentual Indicador_1;NUMERICO;3;2;N;
C0000081;Percentual Indicador_2;NUMERICO;3;2;N;
C0000082;Percentual Indicador_3;NUMERICO;3;2;S;
C0000083;Percentual Indicador_4;NUMERICO;3;2;S;
C0000084;Percentual Taxa Pre;NUMERICO;3;2;S;
C0000085;Periodicidade de Verificação;TEXTO;20;0;S;
C0000086;Peso Indicador;TEXTO;20;0;S;
C0000087;Peso Indicador_1;NUMERICO;10;4;S;
C0000088;Peso Indicador_2;NUMERICO;10;4;S;
C0000089;Peso Indicador_3;NUMERICO;10;4;S;
C0000090;Peso Indicador_4;NUMERICO;10;4;S;
C0000091;Peso Indicador_5;NUMERICO;10;4;S;
C0000092;Preço à Vista;NUMERICO;10;4;S;
C0000093;Preço Ex Opção de Compra;NUMERICO;10;8;S;
C0000094;Preço Ex Opção de Venda;NUMERICO;10;8;S;
C0000095;Prêmio Opção de Compra;NUMERICO;10;2;S;
C0000096;Prêmio Opção de Venda;NUMERICO;10;2;S;
C0000097;Remuneração Prêmio;TEXTO;20;0;S;
C0000098;Rentabilidade Máxima;NUMERICO;3;4;S;
C0000099;Rentabilidade Mínima;NUMERICO;3;4;S;
C0000100;Spread;NUMERICO;10;4;S;
C0000101;Strike Indicador;NUMERICO;10;8;S;
C0000102;Strike Indicador_1;NUMERICO;10;8;S;
C0000103;Strike Indicador_2;NUMERICO;10;8;S;
C0000104;Strike Indicador_3;NUMERICO;10;8;S;
C0000105;Strike Indicador_4;NUMERICO;10;8;S;
C0000106;Taxa Cupom Banco;NUMERICO;10;4;S;
C0000107;Taxa Cupom Cliente;NUMERICO;10;4;S;
C0000108;Taxa Rebate;NUMERICO;10;4;S;
C0000109;Taxa Pré Chamada Antecipada;NUMERICO;10;4;S;
C0000110;Taxa Pré_abaixo;NUMERICO;10;4;S;
C0000111;Taxa Pré_acima;NUMERICO;10;4;S;
C0000112;Taxa Pré_dentro;NUMERICO;10;4;S;
C0000113;Taxa Pré_fora;NUMERICO;10;4;S;
C0000114;Taxa Pré-Fixada;NUMERICO;10;4;S;
C0000115;Taxa Pré-Fixada Base;TEXTO;20;0;S;
C0000116;Taxa Pré-Fixada Expressão;TEXTO;20;0;S;
C0000117;Taxa Pré-Fixada Prazo;TEXTO;20;0;S;
C0000118;Taxa_Cupom Dolar;NUMERICO;10;4;S;
C0000119;Taxa_Cupom Euro;NUMERICO;10;4;S;
C0000120;Tipo Opção;DOMINIO;10;0;S;AMERICANA
C0000120;Tipo Opção;DOMINIO;10;0;S;EUROPEIA
C0000120;Tipo Opção;DOMINIO;10;0;S;BERMUDIAN
C0000121;Tipo Opção de Compra;DOMINIO;10;0;S;AMERICANA
C0000121;Tipo Opção de Compra;DOMINIO;10;0;S;EUROPEIA
C0000122;Tipo Opção de Venda;DOMINIO;10;0;S;AMERICANA
C0000122;Tipo Opção de Venda;DOMINIO;10;0;S;EUROPEIA
C0000123;Upload de Arquivo;ARQUIVO;0;0;S;
C0000124;Valor Arrependimento;NUMERICO;10;4;S;
C0000125;Valor Inicial Indicador;NUMERICO;10;4;S;
C0000126;Valor Inicial Indicador_1;NUMERICO;10;4;S;
C0000127;Valor Inicial Indicador_2;NUMERICO;10;4;S;
C0000128;Valor Inicial Indicador_3;NUMERICO;10;4;S;
C0000129;Valor Inicial Indicador_4;NUMERICO;10;4;S;
C0000130;Valor Knock In;NUMERICO;10;4;S;
C0000131;Valor Knock Out;NUMERICO;10;4;S;
C0000132;Valor Máximo Acumulado;NUMERICO;10;4;S;
C0000133;Valor Partida;NUMERICO;10;4;S;
C0000134;Empresa;TEXTO;20;0;S;
C0000135;Knock In_Indicador;NUMERICO;9;9;S;
C0000136;Knock Out_Alta_Indicador;NUMERICO;6;6;S;
C0000137;Knock Out_Baixa_Indicador;NUMERICO;6;6;S;
C0000138;Knock Out_Indicador;NUMERICO;6;6;S;
C0000139;Lastro;TEXTO;20;0;S;
C0000140;Limite Indicador;NUMERICO;10;8;S;
C0000141;Percentual Maior;NUMERICO;3;2;S;
C0000142;Percentual Menor;NUMERICO;3;2;S;
C0000143;Pesos dos Indicadores;TEXTO;20;0;S;
C0000144;Strike_Digital;NUMERICO;10;8;S;
C0000145;Strike_Forward;NUMERICO;10;8;S;
C0000146;taxa Cupom;NUMERICO;10;4;S;
C0000147;taxa Cupom_1;NUMERICO;10;4;N;
C0000148;taxa Cupom_2;NUMERICO;10;4;N;
C0000149;taxa Cupom_3;NUMERICO;10;4;S;
C0000150;taxa Cupom_4;NUMERICO;10;4;S;
C0000151;Taxa de Referência;NUMERICO;10;4;S;
C0000152;Parâmetro do Cliente;TEXTO;10;0;S;
C0000153;Dólar Inicial;NUMERICO;3;4;S;
C0000154;Euro Inicial;NUMERICO;3;4;S;
C0000155;Valor do Rebate;NUMERICO;10;2;N;
C0000156;Tipo da Barreira;NUMERICO;1;0;S;
C0000157;Strike_Call;NUMERICO;10;8;S;
C0000158;Strike_Put;NUMERICO;10;8;S;
C0000159;Strike_1_Ind;NUMERICO;10;8;S;
C0000160;Strike_2_Ind;NUMERICO;10;8;S;
C0000161;Strike_3_Ind;NUMERICO;10;8;S;
C0000162;Strike_4_Ind;NUMERICO;10;8;S;
C0000163;Valor_desembolsado;NUMERICO;10;2;S;
C0000164;% Correção;NUMERICO;3;2;N;
C0000165;Período Correção;TEXTO;10;0;S;
C0000166;% Valor Nominal Atualizado;NUMERICO;3;2;S;
C0000167;Valor Fixo;NUMERICO;10;2;S;
C0000168;Taxa Pré Banco;NUMERICO;10;4;S;
C0000169;Taxa Pré Cliente;NUMERICO;10;4;S;
C0000170;Taxa Banco;NUMERICO;10;4;S;
C0000171;Taxa Cliente;NUMERICO;10;4;S;
C0000172;D-n;DOMINIO;3;0;S;D
C0000172;D-n;DOMINIO;3;0;S;D-1
C0000172;D-n;DOMINIO;3;0;S;D-2
C0000172;D-n;DOMINIO;3;0;S;D-3
C0000172;D-n;DOMINIO;3;0;S;D-4
C0000172;D-n;DOMINIO;3;0;S;D-5
C0000173;Taxa Máxima;NUMERICO;10;4;S;
C0000174;Taxa Mínima;NUMERICO;10;4;S;
C0000175;Basis Points;NUMERICO;6;0;S;
C0000176;Data de Antecipação Inicial;DATA;8;0;S;
C0000177;Data de Antecipação Final;DATA;8;0;S;
C0000178;Exposição Máxima Cliente;NUMERICO;10;2;S;
C0000179;% Correção da Exp Máx Cliente;NUMERICO;3;2;S;
C0000180;Data Apuracao Inicial 1;DATA;8;0;N;
C0000181;Data Apuracao Final 1;DATA;8;0;N;
C0000182;Data Apuracao Inicial 2;DATA;8;0;N;
C0000183;Data Apuracao Final 2;DATA;8;0;N;
C0000184;cap;NUMERICO;6;4;S;
C0000185;ParJuros;NUMERICO;10;4;S;
C0000186;Call;NUMERICO;6;6;S;
C0000187;Put;NUMERICO;6;6;S;
C0000188;Ibov;NUMERICO;6;2;S;
C0000189;Index vcto;TEXTO;20;0;S;
C0000190;Taxa_Ref_1;NUMERICO;10;4;S;
C0000191;Taxa_Ref_2;NUMERICO;10;4;S;
C0000192;Taxa_Ref_3;NUMERICO;10;4;S;
C0000193;Taxa_Ref_4;NUMERICO;10;4;S;
C0000194;KO ON_Alta;NUMERICO;6;6;S;
C0000195;KO ON_Baixa;NUMERICO;6;6;S;
C0000196;Ação;TEXTO;10;0;S;
C0000197;Ação>DI;TEXTO;10;0;S;
C0000198;Ação<=DI;TEXTO;10;0;S;
C0000199;IBOVo;NUMERICO;6;2;S;
C0000200;Floor;NUMERICO;9;9;S;
C0000201;US_Cap;NUMERICO;3;4;S;
C0000202;Dta_Final;NUMERICO;8;0;S;
C0000203;ParAccrual;TEXTO;20;0;S;
C0000204;Period_Strike;DATA;8;0;S;
C0000205;Dta_Inicial;DATA;8;0;S;
C0000206;Taxa Pré 1;NUMERICO;10;4;S;
C0000207;Taxa Pré 2;NUMERICO;10;4;S;
C0000208;Eur_Dol_Ini;NUMERICO;3;4;S;
C0000209;Correc Lim;NUMERICO;3;2;S;
C0000210;Data Oper;DATA;8;0;S;
C0000211;Dolar_Final;DOMINIO;3;0;S;D
C0000211;Dolar_Final;DOMINIO;3;0;S;D-1
C0000211;Dolar_Final;DOMINIO;3;0;S;D-2
C0000211;Dolar_Final;DOMINIO;3;0;S;D-3
C0000212;Pre Informacoes;TEXTO;50;0;S;
C0000213;Participação Baixa;NUMERICO;3;2;S;
C0000214;Participação Alta;NUMERICO;3;2;S;
C0000215;Data Apuracao Inicial;DATA;8;0;S;
C0000216;Data Apuracao Final;DATA;8;0;S;
C0000217;Fator Alavancagem Alta;NUMERICO;3;2;S;
C0000218;Fator Alavancagem Baixa;NUMERICO;3;2;S;
C0000219;Indicador do Cap;TEXTO;20;0;S;
C0000220;Fonte do Cap;TEXTO;20;0;S;
C0000221;Taxa Pre360;NUMERICO;10;4;S;
C0000222;Parte_Contraparte;DOMINIO;20;0;S;PARTE
C0000222;Parte_Contraparte;DOMINIO;20;0;S;CONTRAPARTE
C0000223;Pre_Inf_Part_ContraPart;TEXTO;20;0;S;
C0000224;Pre Inf_Taxa;NUMERICO;10;4;S;
C0000225;Pre Inf_Base;TEXTO;20;0;S;
C0000226;Pre Inf_Expressão;TEXTO;20;0;S;
C0000227;Taxa Cupom Base;TEXTO;20;0;S;
C0000228;Taxa Cupom Expressao;TEXTO;20;0;S;
C0000229;Data da Antecipacao;DATA;8;0;S;
C0000230;Taxa Pre Abaixo 252 exp;NUMERICO;10;4;S;
C0000231;Taxa Pre Acima 360 linear;NUMERICO;10;4;S;
C0000232;Data Trigger Inicial;DATA;10;0;S;
C0000233;Data Trigger Final;DATA;10;0;S;
C0000234;Valor_Indicador_Termo;TEXTO;100;0;S;
C0000235;KO_Indicador_Termo;TEXTO;100;0;S;
C0000236;Taxa Cupom_5;NUMERICO;10;4;S;
C0000237;Taxa Cupom_6;NUMERICO;10;4;S;
