BANCO DO ESTADO DE SERGIPE S/A                                                                      ;BANESEBM            ;70470.40-2;BESEM;13.009.717/0001-46;
BANCO DO ESTADO DO RIO GRANDE DO SUL S/A                                                            ;BANRISULBM          ;70410.40-0;BERSM;92.702.067/0001-96;
BANCO DO ESTADO PARA S/A                                                                            ;BEPBM               ;70370.40-9;BEP M;04.913.711/0001-08;
BANCO DO NORDESTE DO BRASIL S/A                                                                     ;BNBBM               ;70040.40-9;BNBBM;07.237.373/0001-20;
BANCO FATOR S/A                                                                                     ;FATORBM             ;72650.40-2;FATRM;33.644.196/0001-06;
BANCO FIBRA S/A                                                                                     ;FIBRABM             ;72240.40-3;FIBRM;58.616.418/0001-08;
BANCO GENIAL S.A.                                                                                   ;GENIALBM            ;00565.40-4;EQUBI;45.246.410/0001-55;
BANCO GM S.A                                                                                        ;BCOGMBM             ;77260.40-2;GMOTM;59.274.605/0001-13;
BANCO GUANABARA S/A                                                                                 ;GUANABARABM         ;76120.40-2;CRFSM;31.880.826/0001-16;
BANCO HONDA S/A                                                                                     ;HONDABM             ;76190.40-1;HONDM;03.634.220/0001-65;
BANCO INBURSA S/A                                                                                   ;INBURSABM           ;86363.40-0;STANI;04.866.275/0001-63;
BANCO INDUSCRED DE INVESTIMENTO S/A                                                                 ;INDUSCREDBI         ;02581.40-0;INDCI;33.588.252/0001-32;
BANCO INDUSTRIAL DO BRASIL S/A                                                                      ;INDUSTRIALBRBM      ;79600.40-0;INDBM;31.895.683/0001-16;
BANCO INVESTCRED UNIBANCO S/A                                                                       ;INVESTCREDBC        ;72490.40-4;INVCM;61.182.408/0001-16;
BANCO ITAU VEICULOS S/A                                                                             ;ITAUVEICULOSBM      ;70750.40-7;BFIAM;61.190.658/0001-06;
BANCO ITAUBANK S.A.                                                                                 ;ITAUBANKBM          ;74790.40-1;BBOSM;60.394.079/0001-04;
BANCO ITAUCARD S/A                                                                                  ;ITAUCARDBM          ;72520.40-8;FINIM;17.192.451/0001-70;
BANCO J. SAFRA S/A                                                                                  ;JSAFRABM            ;75780.40-3;JSAFM;03.017.677/0001-20;
BANCO JOHN DEERE S.A.                                                                               ;JOHNDEEREBM         ;72170.40-1;INTNM;91.884.981/0001-32;
BANCO J.P. MORGAN S/A                                                                               ;JPMORGANBM          ;73760.40-1;CHASM;33.172.537/0001-98;
BANCO KEB HANA DO BRASIL S/A                                                                        ;KEBBC               ;07570.40-9;KEB C;02.318.507/0001-13;
BANCO LOSANGO S/A - BM                                                                              ;LOSANGOBM           ;00681.40-5;HSBCI;33.254.319/0001-00;
BANCO LUSO BRASILEIRO S/A                                                                           ;LUSOBRASILEIROBM    ;76000.40-5;LUSOM;59.118.133/0001-00;
BANCO MASTER MULTIPLO S.A. - EM LIQUIDACAO EXTRAJUDICIAL                                            ;BCOMASTERBM         ;79940.40-7;PRIMM;33.884.941/0001-94;
BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL                                                      ;MASTERBC            ;96560.40-6;MAXIC;33.923.798/0001-00;
