FIGURA;TITULO;ORDEM;CAMPO;DESCRICAO
COE001003;COE001003 - Call KO;1;Strike 1 (%);Campo de preenchimento obrigatório. Formato: Numérico percentual com 4 inteiros e 8 decimais, maior que 0. Percentual aplicado sobre o Valor Inicial do Ativo Subjacente.
COE001003;COE001003 - Call KO;2;Quantidade 1;Campo de preenchimento opcional. Informa a quantidade do ativo subjacente que é utilizado no cálculo de ajuste referente ao Strike 1. Formato: Numérico com 8 inteiros e 8 decimais.
COE001003;COE001003 - Call KO;3;Participação cenário de alta (%);Campo de preenchimento obrigatório. Número indicando percentual a ser aplicado sobre a valorização do ativo subjacente. Formato: Numérico com 4 inteiros e 4 decimais, maior que 0.
COE001003;COE001003 - Call KO;4;Barreira no Cenário de Alta (%);Campo de preenchimento obrigatório. Formato: numérico com 4 inteiros e 8 decimais, sempre maior que zero. Indica o percentual a ser aplicado sobre o valor inicial do ativo.
COE001003;COE001003 - Call KO;5;Rebate no Cenário de Alta (%);Campo de preenchimento obrigatório. Formato: numérico com 4 inteiros e 4 decimais, sempre maior que zero. Indica o percentual a ser aplicado sobre o VFE quando detectado que a cotação for maior que a barreira no período de verificação.
COE001003;COE001003 - Call KO;6;Tipo de Cotação para Verificação de Barreiras no Cenário de Alta;Campo de preenchimento obrigatório. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Indicação de qual será a cotação a ser considerada. Campo com as opções: Fechamento, Média, Máximo, Mínimo e Ajuste.
COE001003;COE001003 - Call KO;7;Período de captura do ativo subjacente para liquidação;Campo de preenchimento obrigatório. Campo com as opções: Data Única, Janela de Datas e Mais Datas. Indica como será formado o fixing no vencimento. Caso o ativo subjacente seja uma Cesta,não é permitido selecionar a opção “Janela de Datas” Se indicado Janela de Datas ou Mais Datas, será obrigatório o preenchimento do campo “Tipo de Fixing para Vencimento”. Caso seja indicado “Mais Datas” as datas serão indicadas na seção “Mais Datas”.
COE001003;COE001003 - Call KO;8;Data inicial para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. É possível escolher uma data maior ou igual à “Data de Emissão” (ou “Emissão a Termo”), e menor que “Data Final para Fixing”."
COE001003;COE001003 - Call KO;9;Data final para fixing;"Campo de preenchimento obrigatório, se indicado ""Janela de datas"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”. Esta data deve ser posterior à indicada no campo “Data Inicial para Fixing”, sendo que o prazo máximo de dias entre a “Data Final para Fixing” e o vencimento é de 5 dias úteis e o prazo mínimo entre estas datas é 1 dia útil."
COE001003;COE001003 - Call KO;10;Data para fixing;"Campo de preenchimento obrigatório, se indicado ""Data única"". Formato: DD/MM/AAAA. Não preencher se a “Classe do Ativo Subjacente” for igual a “CESTA”."
